Business name,Role,Full name,Email,Password,Branch,Notes
Glow Beauty Lounge,Staff,Glow Beauty Lounge Staff 2,staff2@glowbeauty.test,Test@12345,Glow Beauty Lounge Branch 2,Branch-scoped staff account.
Glow Beauty Lounge,Staff,Glow Beauty Lounge Staff 3,staff3@glowbeauty.test,Test@12345,Glow Beauty Main,Branch-scoped staff account.
Glow Beauty Lounge,Staff,Glow Beauty Lounge Staff 4,staff4@glowbeauty.test,Test@12345,Glow Beauty Lounge Branch 2,Branch-scoped staff account.
BlueWave Car Wash,Business Owner,BlueWave Car Wash Owner,owner@bluewavecarwash.test,Test@12345,BlueWave Express Bay,Owner can see only this business.
BlueWave Car Wash,Branch Manager,BlueWave Car Wash Branch Manager,manager@bluewavecarwash.test,Test@12345,BlueWave Express Bay,Branch-scoped manager.
BlueWave Car Wash,Staff,BlueWave Car Wash Staff 1,staff1@bluewavecarwash.test,Test@12345,BlueWave Express Bay,Branch-scoped staff account.
BlueWave Car Wash,Staff,BlueWave Car Wash Staff 2,staff2@bluewavecarwash.test,Test@12345,BlueWave Car Wash Branch 2,Branch-scoped staff account.
BlueWave Car Wash,Staff,BlueWave Car Wash Staff 3,staff3@bluewavecarwash.test,Test@12345,BlueWave Express Bay,Branch-scoped staff account.
BlueWave Car Wash,Staff,BlueWave Car Wash Staff 4,staff4@bluewavecarwash.test,Test@12345,BlueWave Car Wash Branch 2,Branch-scoped staff account.
The Grill Kitchen,Business Owner,The Grill Kitchen Owner,owner@grillkitchen.test,Test@12345,The Grill Kitchen Main,Owner can see only this business.
The Grill Kitchen,Branch Manager,The Grill Kitchen Branch Manager,manager@grillkitchen.test,Test@12345,The Grill Kitchen Main,Branch-scoped manager.
The Grill Kitchen,Staff,The Grill Kitchen Staff 1,staff1@grillkitchen.test,Test@12345,The Grill Kitchen Main,Branch-scoped staff account.
The Grill Kitchen,Staff,The Grill Kitchen Staff 2,staff2@grillkitchen.test,Test@12345,The Grill Kitchen Main,Branch-scoped staff account.
The Grill Kitchen,Staff,The Grill Kitchen Staff 3,staff3@grillkitchen.test,Test@12345,The Grill Kitchen Main,Branch-scoped staff account.
The Grill Kitchen,Staff,The Grill Kitchen Staff 4,staff4@grillkitchen.test,Test@12345,The Grill Kitchen Main,Branch-scoped staff account.
Urban Fitness Studio,Business Owner,Urban Fitness Studio Owner,owner@urbanfitness.test,Test@12345,Urban Fitness Marina,Owner can see only this business.
Urban Fitness Studio,Branch Manager,Urban Fitness Studio Branch Manager,manager@urbanfitness.test,Test@12345,Urban Fitness Marina,Branch-scoped manager.
Urban Fitness Studio,Staff,Urban Fitness Studio Staff 1,staff1@urbanfitness.test,Test@12345,Urban Fitness Marina,Branch-scoped staff account.
Urban Fitness Studio,Staff,Urban Fitness Studio Staff 2,staff2@urbanfitness.test,Test@12345,Urban Fitness Studio Branch 2,Branch-scoped staff account.
Urban Fitness Studio,Staff,Urban Fitness Studio Staff 3,staff3@urbanfitness.test,Test@12345,Urban Fitness Marina,Branch-scoped staff account.
Urban Fitness Studio,Staff,Urban Fitness Studio Staff 4,staff4@urbanfitness.test,Test@12345,Urban Fitness Studio Branch 2,Branch-scoped staff account.
FreshMart Grocery,Business Owner,FreshMart Grocery Owner,owner@freshmart.test,Test@12345,FreshMart Neighborhood Store,Owner can see only this business.
FreshMart Grocery,Branch Manager,FreshMart Grocery Branch Manager,manager@freshmart.test,Test@12345,FreshMart Neighborhood Store,Branch-scoped manager.
FreshMart Grocery,Staff,FreshMart Grocery Staff 1,staff1@freshmart.test,Test@12345,FreshMart Neighborhood Store,Branch-scoped staff account.
FreshMart Grocery,Staff,FreshMart Grocery Staff 2,staff2@freshmart.test,Test@12345,FreshMart Neighborhood Store,Branch-scoped staff account.
FreshMart Grocery,Staff,FreshMart Grocery Staff 3,staff3@freshmart.test,Test@12345,FreshMart Neighborhood Store,Branch-scoped staff account.
FreshMart Grocery,Staff,FreshMart Grocery Staff 4,staff4@freshmart.test,Test@12345,FreshMart Neighborhood Store,Branch-scoped staff account.
Pearl Dental Clinic,Business Owner,Pearl Dental Clinic Owner,owner@pearldental.test,Test@12345,Pearl Dental Main,Owner can see only this business.
Pearl Dental Clinic,Branch Manager,Pearl Dental Clinic Branch Manager,manager@pearldental.test,Test@12345,Pearl Dental Main,Branch-scoped manager.
Pearl Dental Clinic,Staff,Pearl Dental Clinic Staff 1,staff1@pearldental.test,Test@12345,Pearl Dental Main,Branch-scoped staff account.
Pearl Dental Clinic,Staff,Pearl Dental Clinic Staff 2,staff2@pearldental.test,Test@12345,Pearl Dental Clinic Branch 2,Branch-scoped staff account.
Pearl Dental Clinic,Staff,Pearl Dental Clinic Staff 3,staff3@pearldental.test,Test@12345,Pearl Dental Main,Branch-scoped staff account.
Pearl Dental Clinic,Staff,Pearl Dental Clinic Staff 4,staff4@pearldental.test,Test@12345,Pearl Dental Clinic Branch 2,Branch-scoped staff account.
Luxury Spa Center,Business Owner,Luxury Spa Center Owner,owner@luxuryspa.test,Test@12345,Luxury Spa Center Main,Owner can see only this business.
Luxury Spa Center,Branch Manager,Luxury Spa Center Branch Manager,manager@luxuryspa.test,Test@12345,Luxury Spa Center Main,Branch-scoped manager.
Luxury Spa Center,Staff,Luxury Spa Center Staff 1,staff1@luxuryspa.test,Test@12345,Luxury Spa Center Main,Branch-scoped staff account.
Luxury Spa Center,Staff,Luxury Spa Center Staff 2,staff2@luxuryspa.test,Test@12345,Luxury Spa Center Branch 2,Branch-scoped staff account.
Luxury Spa Center,Staff,Luxury Spa Center Staff 3,staff3@luxuryspa.test,Test@12345,Luxury Spa Center Main,Branch-scoped staff account.
Luxury Spa Center,Staff,Luxury Spa Center Staff 4,staff4@luxuryspa.test,Test@12345,Luxury Spa Center Branch 2,Branch-scoped staff account.
QuickFix Auto Garage,Business Owner,QuickFix Auto Garage Owner,owner@quickfixauto.test,Test@12345,QuickFix Main Garage,Owner can see only this business.
QuickFix Auto Garage,Branch Manager,QuickFix Auto Garage Branch Manager,manager@quickfixauto.test,Test@12345,QuickFix Main Garage,Branch-scoped manager.
QuickFix Auto Garage,Staff,QuickFix Auto Garage Staff 1,staff1@quickfixauto.test,Test@12345,QuickFix Main Garage,Branch-scoped staff account.
QuickFix Auto Garage,Staff,QuickFix Auto Garage Staff 2,staff2@quickfixauto.test,Test@12345,QuickFix Auto Garage Branch 2,Branch-scoped staff account.
QuickFix Auto Garage,Staff,QuickFix Auto Garage Staff 3,staff3@quickfixauto.test,Test@12345,QuickFix Main Garage,Branch-scoped staff account.
QuickFix Auto Garage,Staff,QuickFix Auto Garage Staff 4,staff4@quickfixauto.test,Test@12345,QuickFix Auto Garage Branch 2,Branch-scoped staff account.
